Name,score,real
email,0.022,0
email,0.039,0
email,0.768,0
email,0.121,0
email,0.026,0
email,0.927,1
email,0.054,0
email,0.033,0
email,0.975,1
email,0.231,0
email,0.985,1
email,0.041,0
email,0.981,1
email,0.597,1
email,0.975,1
email,0.026,0
email,0.971,1
email,0.981,1
email,0.027,0
email,0.69,1
email,0.427,0
email,0.018,0
email,0.016,0
email,0.992,1
email,0.762,0
email,0.772,1
email,0.047,0
email,0.057,0
email,0.991,1
email,0.019,0
email,0.032,0
email,0.101,0
email,0.016,0
email,0.989,1
email,0.985,1
email,0.554,0
email,0.981,1
email,0.022,0
email,0.991,1
email,0.993,1
email,0.027,0
email,0.03,0
email,0.017,0
email,0.027,0
email,0.023,0
email,0.038,0
email,0.04,0
email,0.02,0
email,0.072,0
email,0.978,1
email,0.053,0
email,0.987,1
email,0.047,0
email,0.996,1
email,0.031,0
email,0.98,1
email,0.996,1
email,0.987,1
email,0.056,0
email,0.025,0
email,0.152,1
email,0.993,1
email,0.988,1
email,0.934,1
email,0.984,1
email,0.985,1
email,0.059,0
email,0.627,1
email,0.992,1
email,0.052,0
email,0.049,0
email,0.975,1
email,0.746,1
email,0.98,1
email,0.829,1
email,0.536,0
email,0.02,0
email,0.034,0
email,0.052,0
email,0.06,0
email,0.172,1
email,0.988,1
email,0.962,1
email,0.99,1
email,0.028,0
email,0.947,1
email,0.985,1
email,0.995,1
email,0.979,1
email,0.994,1
email,0.029,0
email,0.022,0
email,0.992,1
email,0.982,1
email,0.994,1
email,0.027,0
email,0.982,1
email,0.98,1
email,0.03,0
email,0.167,0
email,0.019,0
email,0.969,1
email,0.987,1
email,0.992,1
email,0.203,0
email,0.049,0
email,0.982,1
email,0.339,1
email,0.023,0
email,0.03,0
email,0.982,1
email,0.978,1
email,0.048,0
email,0.019,0
email,0.016,0
email,0.026,0
email,0.518,0
email,0.989,1
email,0.03,0
email,0.976,1
email,0.494,1
email,0.246,0
email,0.437,1
email,0.049,0
email,0.989,1
email,0.988,1
email,0.988,1
email,0.019,0
email,0.909,1
email,0.789,1
email,0.034,0
email,0.777,1
email,0.022,0
email,0.028,0
email,0.026,0
email,0.039,0
email,0.961,1
email,0.01,0
email,0.03,0
email,0.988,1
email,0.048,0
email,0.973,1
email,0.048,0
email,0.314,0
email,0.039,0
email,0.036,0
email,0.98,1
email,0.954,1
email,0.066,0
email,0.994,1
email,0.092,0
email,0.959,1
email,0.019,0
email,0.021,0
email,0.455,1
email,0.021,0
email,0.992,1
email,0.202,0
email,0.978,1
email,0.987,1
email,0.991,1
email,0.031,0
email,0.025,0
email,0.058,0
email,0.996,1
email,0.535,1
email,0.563,0
email,0.035,0
email,0.99,1
email,0.395,0
email,0.043,0
email,0.072,1
email,0.975,1
email,0.108,0
email,0.455,0
email,0.984,1
email,0.95,1
email,0.22,0
email,0.024,0
email,0.969,1
email,0.981,1
email,0.994,1
email,0.023,0
email,0.092,0
email,0.993,1
email,0.986,1
email,0.986,1
email,0.991,1
email,0.03,0
email,0.26,0
email,0.991,1
email,0.321,1
email,0.016,0
email,0.031,0
email,0.022,0
email,0.038,0
email,0.017,0
email,0.035,0
email,0.986,1
email,0.976,1
email,0.03,0
email,0.414,1
email,0.949,1
email,0.023,0
email,0.991,1
email,0.038,0
email,0.592,1
email,0.981,1
email,0.983,1
email,0.024,0
email,0.984,1
email,0.952,1
email,0.064,0
email,0.473,1
email,0.981,1
email,0.987,1
email,0.184,1
email,0.357,0
email,0.022,0
email,0.97,1
email,0.995,1
email,0.989,1
email,0.979,1
email,0.087,1
email,0.995,1
email,0.057,0
email,0.045,0
email,0.032,0
email,0.977,1
email,0.035,0
email,0.024,0
email,0.022,0
email,0.991,1
email,0.977,1
email,0.024,0
email,0.671,1
email,0.038,0
email,0.981,1
email,0.983,1
email,0.014,0
email,0.048,0
email,0.02,0
email,0.963,1
email,0.974,1
email,0.08,0
email,0.023,0
email,0.994,1
email,0.034,0
email,0.976,1
email,0.076,0
email,0.987,1
email,0.155,1
email,0.077,0
email,0.035,0
email,0.088,0
email,0.99,1
email,0.74,1
email,0.042,0
email,0.025,0
email,0.033,0
email,0.025,0
email,0.03,0
email,0.099,0
email,0.968,1
email,0.031,0
email,0.868,1
email,0.039,0
email,0.031,0
email,0.126,0
email,0.067,0
email,0.084,0
email,0.039,0
email,0.023,0
email,0.064,0
email,0.987,1
email,0.992,1
email,0.019,0
email,0.983,1
email,0.976,1
email,0.072,0
email,0.072,0
email,0.021,0
email,0.042,0
email,0.028,0
email,0.96,1
email,0.929,1
email,0.312,0
email,0.967,1
email,0.061,0
email,0.028,0
email,0.019,0
email,0.06,0
email,0.056,0
email,0.037,0
email,0.024,0
email,0.012,0
email,0.059,0
email,0.978,1
email,0.041,0
email,0.989,1
email,0.99,1
email,0.98,1
email,0.498,0
email,0.274,0
email,0.967,1
email,0.959,1
email,0.026,0
email,0.99,1
email,0.109,0
email,0.071,0
email,0.992,1
email,0.043,0
email,0.055,0
email,0.989,1
email,0.102,0
email,0.99,1
email,0.046,0
email,0.985,1
email,0.036,0
email,0.014,0
email,0.023,0
email,0.981,1
email,0.079,0
email,0.997,1
email,0.036,0
email,0.79,1
email,0.082,0
email,0.027,0
email,0.045,0
email,0.017,0
email,0.024,0
email,0.184,0
email,0.037,0
email,0.993,1
email,0.975,1
email,0.022,0
email,0.018,0
email,0.037,0
email,0.041,0
email,0.032,0
email,0.978,1
email,0.17,0
email,0.032,0
email,0.027,0
email,0.99,1
